"","Season","Date","MatchNr","Home","Away","AvgH","AvgD","AvgA","NrWinH","NrDrawH","NrLostH","NrWinA","NrDrawA","NrLostA","NrWinL5H","NrDrawL5H","NrLostL5H","NrWinL5A","NrDrawL5A","NrLostL5A","Model_ProbH","Model_ProbD","Model_ProbA","Bet_Model","Bet_Lul","Bet_Eric","Bet_Maki","Result"
"1",2018,"2018-09-01","01","Man City","Newcastle",1.12,11,25,2,1,0,0,1,2,4,1,0,0,1,4,0.979536546942202,0.00117743896123718,0.0192860140965609,"","","","",""
"2",2018,"2018-09-01","02","Brighton","Fulham",2.34,3.4,3.25,1,0,2,1,0,2,2,0,3,2,1,2,0.611592840038052,0.252534088548216,0.135873071413732,"","","","",""
"3",2018,"2018-09-01","03","Chelsea","Bournemouth",1.29,6.4,11,3,0,0,2,1,0,3,1,1,4,1,0,0.987577046710729,0.00665174356308548,0.0057712097261858,"","","","",""
"4",2018,"2018-09-01","04","Crystal Palace","Southampton",2.01,3.5,4.2,1,0,2,0,1,2,3,0,2,1,1,3,0.582202243268014,0.113516344433291,0.304281412298695,"","","","",""
"5",2018,"2018-09-01","05","Everton","Huddersfield",1.54,4.2,7.4,1,2,0,0,1,2,2,2,1,1,1,3,0.915124451171085,0.0476825558569224,0.0371929929719929,"","","","",""
"6",2018,"2018-09-01","06","West Ham","Wolves",2.6,3.4,2.85,0,0,3,0,2,1,2,0,3,2,2,1,0.317355371900826,0.236363636363636,0.446280991735537,"","","","",""
"7",2018,"2018-09-01","07","Birmingham","QPR",2.03,3.45,3.65,0,3,2,1,0,4,0,2,3,3,0,2,0.360636883154225,0.342174939198984,0.297188177646791,"","","","",""
"8",2018,"2018-09-01","08","Hull","Derby",2.7,3.3,2.6,1,1,3,3,0,2,1,1,3,4,0,1,0.401282540287976,0.332316201010775,0.266401258701249,"","","","",""
"9",2018,"2018-09-01","09","Millwall","Swansea",2.08,3.4,3.55,1,2,2,2,2,1,2,1,2,1,2,2,0.728633432036669,0.152192430941468,0.119174137021863,"","","","",""
"10",2018,"2018-09-01","10","Sheffield United","Aston Villa",2.36,3.25,3.1,3,0,2,2,3,0,3,1,1,1,3,1,0.240951897331733,0.530168036192411,0.228880066475856,"","","","",""
"11",2018,"2018-09-01","11","West Brom","Stoke",1.92,3.4,4.15,2,1,2,1,2,2,4,0,1,2,2,1,0.478256280346211,0.285307156428119,0.23643656322567,"","","","",""
"12",2018,"2018-09-01","12","AIK","Hacken",1.77,3.6,4.95,13,6,0,9,4,6,4,0,1,5,0,0,0.689361537419442,0.267848503028778,0.0427899595517795,"","","","",""
"13",2018,"2018-09-01","13","Orebro","Ostersunds",2.8,3.45,2.45,6,5,8,10,3,6,2,0,3,3,0,2,0.170695912353952,0.538163119034346,0.291140968611702,"","","","",""
