Date,MatchNr,Home,Away,AvgH,AvgD,AvgA,NrWinH,NrDrawH,NrLostH,NrWinA,NrDrawA,NrLostA,NrWinL5H,NrDrawL5H,NrLostL5H,NrWinL5A,NrDrawL5A,NrLostL5A,Bet_Lul,Bet_Eric,Bet_Maki,Res
2018-08-18,1,Chelsea,Arsenal,1.82,4.05,4.45,1,0,0,0,0,1,1,3,1,2,2,1,1,1,NA,
2018-08-18,2,Everton,Southampton,2.02,3.5,4.15,0,1,0,0,1,0,0,1,4,2,1,2,1X,1X,NA,
2018-08-18,3,Leicester,Wolves,2.09,3.5,3.9,0,0,1,0,1,0,1,2,2,1,3,1,1,1,NA,
2018-08-18,4,Tottenham,Fulham,1.28,6.4,12,1,0,0,0,0,1,3,1,1,0,1,4,X2,X2,NA,
2018-08-18,5,West Ham,Bournemouth,2.23,3.55,3.35,0,0,1,1,0,0,3,1,1,2,1,2,1,1,NA,
2018-08-18,6,Bristol City,Middlesbrough,2.75,3.05,2.7,0,2,0,2,1,0,0,3,2,3,2,0,X2,X2,NA,
2018-08-18,7,Hull,Blackburn,2.34,3.25,3.15,0,1,1,0,2,0,0,4,1,2,2,1,2,2,NA,
2018-08-18,8,Ipswich,Aston Villa,3.8,3.2,2.08,0,1,1,2,0,0,1,2,2,4,0,1,1,1,NA,
2018-08-18,9,Leeds,Rotherham,1.43,4.7,6.9,2,0,0,1,0,1,5,0,0,3,0,2,1,1,NA,
2018-08-18,10,Millwall,Derby,2.28,3.3,3.2,0,2,0,1,0,1,1,3,1,4,0,1,1,1,NA,
2018-08-18,11,Reading,Bolton,2.04,3.3,3.85,0,0,2,1,1,0,1,1,3,2,1,2,X2,X2,NA,
2018-08-18,12,Sheffield United,Norwich,2.01,3.45,3.75,1,0,2,0,1,1,2,1,2,2,1,2,1,1,NA,
2018-08-18,13,West Brom,QPR,1.64,3.9,5.3,1,1,1,0,0,2,3,1,1,2,1,2,12,12,NA,
